RD,TDLinx,Store Name - Nielsen,Store Type,Street Name,Barangay,Municipality,Province,Region,Longitude,Latitude,Accuracy,Average Daily Sales: Sari Sari Store,Located? (Yes/No),cluster_label
Extreme Reach,7K014729,No Trade Name,Sari Sari Store,"prk 10-B, brgy Fatima","Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1248917,6.074553333,1.3,101 - 500,No,48
Extreme Reach,7K014135,VILLAFUERTE STORE,Sari Sari Store,Obasa Street Carmenville,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1360217,6.078701667,1.5,101 - 500,No,48
Extreme Reach,7K014732,No Trade Name,Sari Sari Store,"prk 10-B, brgy Fatima","Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1237633,6.074631667,1.6,101 - 500,No,48
Extreme Reach,7K014847,No Trade Name,Sari Sari Store,Purok 10-A barangay fatima,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1234467,6.07389,1.7,101 - 500,No,48
Extreme Reach,7K014839,KEAN's GROCERY STORE,Sari Sari Store,Rizal Street,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1397983,6.074126667,1.6,"2001 - 3,500",No,186
Extreme Reach,7K014722,No Trade Name,Sari Sari Store,"prk 10-B , brgy Fatima","Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1278567,6.074496667,1.4,101 - 500,No,48
Extreme Reach,7K014841,No Trade Name,Sari Sari Store,Upper Calumpang,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.12228,6.075625,5,"501 - 2,000",No,48
Extreme Reach,7K014728,No Trade Name,Sari Sari Store,"prk 10-B, brgy Fatima","Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.12485,6.075498333,1.6,101 - 500,No,48
Extreme Reach,7K014715,No Trade Name,Sari Sari Store,"prk 10-A , brgy Fatima","Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1252783,6.073918333,1.8,101 - 500,No,48
Extreme Reach,7K014717,No Trade Name,Sari Sari Store,"prk 10-A , brgy Fatima","Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1265917,6.074111667,1.6,"501 - 2,000",No,48
Extreme Reach,7K014721,No Trade Name,Sari Sari Store,"prk 10-B , brgy Fatima","Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1274917,6.074338333,1.8,101 - 500,No,48
Extreme Reach,7K014842,DADAY STORE,Sari Sari Store,Upper Calumpang,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1223017,6.074368333,1.5,"501 - 2,000",No,48
