store,latitude,longitude,dayno,sequence,distancetonextstore
7K011211,6.07571833,125.1429817,12,2,0.048
7K011208,6.07614,125.1428733,12,3,0.049
7K011105,6.07612167,125.1424317,12,4,0.058
7K011106,6.07663667,125.142355,12,5,0.063
7K011832,6.07694333,125.1428317,12,6,0.063
7K011107,6.07735,125.1424317,12,7,0.255
7K011214,6.07511167,125.1429467,12,8,0.002
7K011113,6.07511,125.1429617,12,9,0.046
7K011112,6.07471,125.1428667,12,10,0.014
7K011213,6.07464833,125.14298,12,11,0.034
7K011212,6.07434667,125.1429783,12,12,0.052
7K011847,6.07388,125.1429417,12,13,0.006
7K011831,6.07383,125.142935,12,14,0.024
7K011833,6.073625,125.1428683,12,15,0.106
7K011103,6.07448333,125.1424567,12,16,0.032
7K011207,6.07477167,125.1424283,12,17,0.232
7K014840,6.07305,125.1412417,12,18,0.119
7K010861,6.07306,125.1401617,12,19,0.018
7K010942,6.07317667,125.1400533,12,20,0.109
7K014839,6.07412667,125.1397983,12,21,0.059
7K014838,6.07448,125.1401967,12,22,0.02
7K014138,6.07465667,125.140145,12,23,0.072
7K014137,6.07528833,125.1400183,12,24,0.085
7K014136,6.07605333,125.1400183,12,25,0.418
7K010860,6.07237333,125.1392683,12,26,0.054
7K010364,6.07190667,125.13913,12,27,0.034
7K010367,6.07162,125.1392333,12,28,0.024
7K010366,6.071595,125.1394483,12,29,0.042
7K010368,6.071215,125.1394167,12,30,0.058
7K010859,6.07128167,125.1388983,12,31,0.044
7K010872,6.07166167,125.1387733,12,32,0.034
7K010869,6.07196833,125.138785,12,33,0.022
7K010866,6.072165,125.1387983,12,34,0.165
7K010873,6.07084333,125.1381267,12,35,0.02
7K010874,6.07081667,125.1379483,12,36,0.192
7K010370,6.07033333,125.1396133,12,37,0.071
7K010373,6.06982333,125.140005,12,38,0.167
7K010651,6.06885333,125.1411533,12,39,0.016
7K010655,6.06876833,125.141275,12,40,0.083
7K010656,6.06872,125.14202,12,41,0.061
7K010660,6.06923333,125.1422117,12,42,0.033
7K010667,6.06953333,125.1422283,12,43,0.218
7K016774,6.06772167,125.1414783,12,44,0.501
7K017216,6.068305,125.136985,12,45,0.023
7K016755,6.06827667,125.13678,12,46,0.016
7K017213,6.06841667,125.1367967,12,47,0.012
7K017212,6.06845333,125.13669,12,48,0.007
7K016754,6.06851167,125.1366733,12,49,0.041
7K016756,6.068145,125.13667,12,50,0.013
7K016757,6.06804667,125.136615,12,51,1.504
7K014731,6.07421,125.1245067,12,52,0.036
7K014714,6.07403333,125.124235,12,53,0.062
7K014896,6.07418,125.1236933,12,54,0.042
7K014847,6.07389,125.1234467,12,55,0.038
7K014712,6.07400667,125.1231217,12,56,0.074
7K014733,6.074605,125.1234083,12,57,0.039
7K014732,6.07463167,125.1237633,12,58,0.141
7K014713,6.07338833,125.1235367,12,59,0.175
7K014842,6.07436833,125.1223017,12,60,0.0
7K016430,6.07976833,125.1471617,13,1,0.099
7K016428,6.08060167,125.1468367,13,2,0.046
7K016427,6.08098833,125.1467017,13,3,0.071
7K016382,6.08096667,125.1460583,13,4,0.042
7K016385,6.08059167,125.1459933,13,5,0.036
7K016387,6.08044833,125.1456967,13,6,0.073
7K016375,6.08108833,125.145545,13,7,0.027
7K016420,6.08100333,125.1453133,13,8,0.082
7K016378,6.08159333,125.1457567,13,9,0.03
7K016384,6.08167833,125.1460117,13,10,0.028
7K016383,6.081775,125.1462483,13,11,0.368
7K015820,6.08502333,125.146865,13,12,0.018
7K015908,6.08512667,125.1467417,13,13,0.134
7K015821,6.08538167,125.1479283,13,14,0.006
7K015909,6.08543333,125.1479367,13,15,0.084
7K015910,6.085735,125.14863,13,16,0.036
7K015822,6.08586167,125.1489267,13,17,0.083
7K015911,6.086155,125.14962,13,18,0.019
7K017211,6.08607167,125.149765,13,19,0.364
7K016265,6.08899833,125.148285,13,20,0.022
7K016264,6.08911833,125.1484483,13,21,0.465
7K015633,6.08653,125.14514,13,22,0.037
7K015634,6.08639667,125.1448367,13,23,0.018
7K015632,6.08631333,125.1446933,13,24,0.035
7K015627,6.08608333,125.14491,13,25,0.013
7K015628,6.08613667,125.1450167,13,26,0.042
7K015631,6.08589667,125.144725,13,27,0.037
7K015635,6.08608667,125.1444467,13,28,0.037
7K015816,6.08575833,125.144375,13,29,0.065
7K015655,6.085415,125.1439,13,30,0.013
7K015656,6.08537833,125.1437917,13,31,0.063
7K016364,6.08481667,125.1437417,13,32,0.121
7K015885,6.08503,125.1448183,13,33,0.195
7K015654,6.086295,125.1435933,13,34,0.966
7K014151,6.07843667,125.1473283,13,35,0.025
7K014152,6.07828833,125.1475,13,36,0.024
7K014396,6.07813333,125.1476467,13,37,0.006
7K014397,6.07816333,125.1476917,13,38,0.044
7K014399,6.07778,125.1477767,13,39,0.064
7K014406,6.07795167,125.148325,13,40,0.025
7K014408,6.07776167,125.1484417,13,41,0.006
7K014409,6.07773667,125.148485,13,42,0.013
7K014412,6.07768333,125.14859,13,43,0.027
7K014410,6.07755167,125.148385,13,44,0.126
7K014155,6.07866167,125.1481367,13,45,0.532
7K011118,6.07660333,125.14379,13,46,0.002
7K011117,6.076585,125.1437917,13,47,0.026
7K011116,6.07639667,125.1436467,13,48,0.025
7K011268,6.07628167,125.143845,13,49,0.05
7K011255,6.07631833,125.1433917,13,50,0.021
7K011115,6.07614667,125.14332,13,51,0.038
7K011108,6.076005,125.1430033,13,52,0.032
7K011210,6.076285,125.142945,13,53,0.07
7K011216,6.07565833,125.1429967,13,54,0.087
7K011114,6.074965,125.1433633,13,55,0.292
7K011120,6.07757,125.14305,13,56,1.884
7K015342,6.09364333,125.1376483,13,57,0.075
7K016736,6.09359333,125.1369733,13,58,0.067
7K016737,6.09386,125.1364267,13,59,0.162
7K016743,6.09408333,125.1349833,13,60,0.0
7K012370,6.06859333,125.15444,14,1,0.009
7K012369,6.06854,125.1543817,14,2,0.024
7K012368,6.06849333,125.1541717,14,3,0.026
7K012367,6.06863,125.1539783,14,4,0.025
7K012366,6.06848833,125.1538083,14,5,0.107
7K012719,6.06834667,125.1547633,14,6,0.016
7K012720,6.06844,125.1548717,14,7,0.116
7K012722,6.06907667,125.1557,14,8,0.009
7K012729,6.06910833,125.1557733,14,9,0.009
7K012728,6.06903667,125.15581,14,10,0.012
7K012723,6.06899333,125.1559133,14,11,0.013
7K012726,6.069045,125.1560217,14,12,0.044
7K012738,6.06939,125.155825,14,13,0.006
7K012737,6.06937,125.1557783,14,14,0.012
7K012736,6.06939833,125.1556717,14,15,0.009
7K012730,6.06932,125.155645,14,16,0.006
7K012731,6.06926667,125.1556233,14,17,0.032
7K012735,6.06943167,125.155385,14,18,0.102
7K012741,6.07025,125.1549717,14,19,0.046
7K011142,6.07064833,125.1548483,14,20,0.034
7K011154,6.07056833,125.15455,14,21,0.017
7K012742,6.07058833,125.1543983,14,22,0.011
7K011135,6.07068,125.1544383,14,23,0.035
7K011156,6.07059,125.1541333,14,24,0.011
7K011133,6.0706,125.1540367,14,25,0.033
7K012743,6.07041167,125.1542667,14,26,0.073
7K010900,6.07089833,125.153825,14,27,0.008
7K010899,6.07085167,125.153765,14,28,0.04
7K010897,6.07102667,125.1534517,14,29,0.051
7K010896,6.07148833,125.153455,14,30,0.017
7K011161,6.07163833,125.1534683,14,31,0.048
7K010895,6.07173333,125.153045,14,32,0.026
7K010894,6.07164667,125.1528233,14,33,0.008
7K010890,6.07157833,125.152795,14,34,0.024
7K010888,6.07179333,125.1528133,14,35,0.009
7K011414,6.07186,125.1527617,14,36,0.011
7K010886,6.07195667,125.1527833,14,37,0.011
7K010887,6.07202,125.152855,14,38,0.016
7K011412,6.07197333,125.15299,14,39,0.014
7K011411,6.07200667,125.1531083,14,40,0.008
7K011410,6.07204667,125.15317,14,41,0.007
7K011409,6.07209333,125.1532167,14,42,0.004
7K011408,6.07212333,125.153205,14,43,0.024
7K011736,6.07233,125.153275,14,44,0.022
7K011203,6.07220167,125.1534233,14,45,0.021
7K011167,6.07220833,125.1536167,14,46,0.014
7K011165,6.072085,125.1535833,14,47,0.031
7K011172,6.07221167,125.153835,14,48,0.029
7K011202,6.07244,125.1537033,14,49,0.092
7K011738,6.07236333,125.1528717,14,50,0.023
7K011739,6.07243,125.1526733,14,51,0.009
7K011740,6.07248333,125.1526117,14,52,0.012
7K011741,6.07246,125.1525033,14,53,0.016
7K011744,6.07243833,125.1523633,14,54,0.017
7K010881,6.07232333,125.152265,14,55,0.015
7K010879,6.07242833,125.1521733,14,56,0.036
7K010878,6.07256167,125.1518783,14,57,0.081
7K010882,6.07203333,125.1523833,14,58,0.034
7K011734,6.07221333,125.15263,14,59,0.384
7K012355,6.06879667,125.15211,14,60,0.0
7K010852,6.06723833,125.1429217,15,1,0.027
7K016706,6.06699833,125.14296,15,2,0.041
7K016839,6.06709167,125.14332,15,3,0.024
7K016707,6.06730333,125.143275,15,4,0.01
7K016840,6.06738167,125.143325,15,5,0.105
7K010853,6.06827333,125.1430067,15,6,0.036
7K010849,6.068585,125.1429233,15,7,0.035
7K010855,6.06889167,125.1429933,15,8,0.044
7K010856,6.069285,125.142945,15,9,0.035
7K010665,6.06955333,125.1427767,15,10,0.009
7K010666,6.06957167,125.142695,15,11,0.011
7K010664,6.06956667,125.1425967,15,12,0.054
7K010661,6.06917167,125.142305,15,13,0.036
7K010658,6.06885333,125.1423633,15,14,0.005
7K010659,6.06881,125.14235,15,15,0.034
7K010699,6.06850667,125.14231,15,16,0.002
7K010652,6.06848833,125.1423133,15,17,0.006
7K010653,6.06844,125.1422833,15,18,0.193
7K010848,6.07003167,125.1429783,15,19,0.012
7K010937,6.07013833,125.1429433,15,20,0.093
7K010029,6.070755,125.143505,15,21,0.016
7K009799,6.07083333,125.1436217,15,22,0.027
7K010939,6.07065,125.1437883,15,23,0.001
7K010858,6.07064,125.143795,15,24,0.023
7K011092,6.07081833,125.143905,15,25,0.052
7K010074,6.07118167,125.143605,15,26,0.01
7K010001,6.07126833,125.1435783,15,27,0.069
7K010008,6.07187667,125.1436817,15,28,0.022
7K010080,6.07206167,125.1436233,15,29,0.023
7K010081,6.07196333,125.14344,15,30,0.002
7K010009,6.07194667,125.1434367,15,31,0.043
7K010007,6.07232167,125.143325,15,32,0.033
7K010013,6.0723,125.1436267,15,33,0.042
7K010010,6.07251667,125.1439383,15,34,0.01
7K010012,6.07255667,125.1440233,15,35,0.038
7K014141,6.07275833,125.1442967,15,36,0.036
7K014142,6.07304333,125.14446,15,37,0.018
7K014143,6.073205,125.14449,15,38,0.014
7K014144,6.07332333,125.1444417,15,39,0.015
7K011137,6.07322167,125.1443583,15,40,0.034
7K014145,6.07335667,125.14463,15,41,0.019
7K014146,6.07351667,125.1445617,15,42,0.039
7K011141,6.073545,125.14421,15,43,0.071
7K010011,6.07296,125.1439583,15,44,0.075
7K014140,6.07240667,125.1443517,15,45,0.028
7K011098,6.072225,125.14417,15,46,0.134
7K010015,6.07252333,125.1429933,15,47,0.011
7K010014,6.07244,125.1429433,15,48,0.362
7K014147,6.07486167,125.145125,15,49,0.019
7K014148,6.07502667,125.1450883,15,50,0.007
7K016708,6.07502667,125.1450283,15,51,0.027
7K014149,6.07514167,125.1452433,15,52,0.035
7K014150,6.07543,125.1453767,15,53,0.421
7K014411,6.07756833,125.1485167,15,54,0.019
7K014413,6.077705,125.1486183,15,55,0.042
7K014417,6.077745,125.1489967,15,56,0.08
7K014419,6.07820833,125.1495483,15,57,0.435
7K011755,6.074985,125.1517767,15,58,0.036
7K011754,6.07466833,125.1517183,15,59,0.029
7K011753,6.07441333,125.151775,15,60,0.0
7K011750,6.07413333,125.151795,16,1,0.009
7K011751,6.07419,125.1518517,16,2,0.729
7K013863,6.06824,125.14908,16,3,0.184
7K013862,6.06831333,125.1474183,16,4,0.95
7K012727,6.06889833,125.1559867,16,5,0.0
